MonthKey,Month,Quarter,Year,Decade
0,1,1,2005,2000s
1,2,1,2005,2000s
2,3,1,2005,2000s
3,4,2,2005,2000s
4,5,2,2005,2000s
5,6,2,2005,2000s
6,7,3,2005,2000s
7,8,3,2005,2000s
8,9,3,2005,2000s
9,10,4,2005,2000s
10,11,4,2005,2000s
11,12,4,2005,2000s
12,,,2005,2000s
13,1,1,2006,2000s
14,2,1,2006,2000s
15,3,1,2006,2000s
16,4,2,2006,2000s
17,5,2,2006,2000s
18,6,2,2006,2000s
19,7,3,2006,2000s
20,8,3,2006,2000s
21,9,3,2006,2000s
22,10,4,2006,2000s
23,11,4,2006,2000s
24,12,4,2006,2000s
25,,,2006,2000s
26,1,1,2007,2000s
27,2,1,2007,2000s
28,3,1,2007,2000s
29,4,2,2007,2000s
30,5,2,2007,2000s
31,6,2,2007,2000s
32,7,3,2007,2000s
33,8,3,2007,2000s
34,9,3,2007,2000s
35,10,4,2007,2000s
36,11,4,2007,2000s
37,12,4,2007,2000s
38,,,2007,2000s
39,1,1,2008,2000s
40,2,1,2008,2000s
41,3,1,2008,2000s
42,4,2,2008,2000s
43,5,2,2008,2000s
44,6,2,2008,2000s
45,7,3,2008,2000s
46,8,3,2008,2000s
47,9,3,2008,2000s
48,10,4,2008,2000s
49,11,4,2008,2000s
50,12,4,2008,2000s
51,,,2008,2000s
52,1,1,2009,2000s
53,2,1,2009,2000s
54,3,1,2009,2000s
55,4,2,2009,2000s
56,5,2,2009,2000s
57,6,2,2009,2000s
58,7,3,2009,2000s
59,8,3,2009,2000s
60,9,3,2009,2000s
61,10,4,2009,2000s
62,11,4,2009,2000s
63,12,4,2009,2000s
64,,,2009,2000s
65,1,1,2010,2000s
66,2,1,2010,2000s
67,3,1,2010,2000s
68,4,2,2010,2000s
69,5,2,2010,2000s
70,6,2,2010,2000s
71,7,3,2010,2000s
72,8,3,2010,2000s
73,9,3,2010,2000s
74,10,4,2010,2000s
75,11,4,2010,2000s
76,12,4,2010,2000s
77,,,2010,2000s
78,1,1,2011,2010s
79,2,1,2011,2010s
80,3,1,2011,2010s
81,4,2,2011,2010s
82,5,2,2011,2010s
83,6,2,2011,2010s
84,7,3,2011,2010s
85,8,3,2011,2010s
86,9,3,2011,2010s
87,10,4,2011,2010s
88,11,4,2011,2010s
89,12,4,2011,2010s
90,,,2011,2010s
91,1,1,2012,2010s
92,2,1,2012,2010s
93,3,1,2012,2010s
94,4,2,2012,2010s
95,5,2,2012,2010s
96,6,2,2012,2010s
97,7,3,2012,2010s
98,8,3,2012,2010s
99,9,3,2012,2010s
100,10,4,2012,2010s
101,11,4,2012,2010s
102,12,4,2012,2010s
103,,,2012,2010s
104,1,1,2013,2010s
105,2,1,2013,2010s
106,3,1,2013,2010s
107,4,2,2013,2010s
108,5,2,2013,2010s
109,6,2,2013,2010s
110,7,3,2013,2010s
111,8,3,2013,2010s
112,9,3,2013,2010s
113,10,4,2013,2010s
114,11,4,2013,2010s
115,12,4,2013,2010s
116,,,2013,2010s
117,1,1,2014,2010s
118,2,1,2014,2010s
119,3,1,2014,2010s
120,4,2,2014,2010s
121,5,2,2014,2010s
122,6,2,2014,2010s
123,7,3,2014,2010s
124,8,3,2014,2010s
125,9,3,2014,2010s
126,10,4,2014,2010s
127,11,4,2014,2010s
128,12,4,2014,2010s
129,,,2014,2010s
130,1,1,2015,2010s
131,2,1,2015,2010s
132,3,1,2015,2010s
133,4,2,2015,2010s
134,5,2,2015,2010s
135,6,2,2015,2010s
136,7,3,2015,2010s
137,8,3,2015,2010s
138,9,3,2015,2010s
139,10,4,2015,2010s
140,11,4,2015,2010s
141,12,4,2015,2010s
142,,,2015,2010s
143,1,1,2016,2010s
144,2,1,2016,2010s
145,3,1,2016,2010s
146,4,2,2016,2010s
147,5,2,2016,2010s
148,6,2,2016,2010s
149,7,3,2016,2010s
150,8,3,2016,2010s
151,9,3,2016,2010s
152,10,4,2016,2010s
153,11,4,2016,2010s
154,12,4,2016,2010s
155,,,2016,2010s
156,1,1,2017,2010s
157,2,1,2017,2010s
158,3,1,2017,2010s
159,4,2,2017,2010s
160,5,2,2017,2010s
161,6,2,2017,2010s
162,7,3,2017,2010s
163,8,3,2017,2010s
164,9,3,2017,2010s
165,10,4,2017,2010s
166,11,4,2017,2010s
167,12,4,2017,2010s
168,,,2017,2010s
169,1,1,2018,2010s
170,2,1,2018,2010s
171,3,1,2018,2010s
172,4,2,2018,2010s
173,5,2,2018,2010s
174,6,2,2018,2010s
175,7,3,2018,2010s
176,8,3,2018,2010s
177,9,3,2018,2010s
178,10,4,2018,2010s
179,11,4,2018,2010s
180,12,4,2018,2010s
181,,,2018,2010s
182,1,1,2019,2010s
183,2,1,2019,2010s
184,3,1,2019,2010s
185,4,2,2019,2010s
186,5,2,2019,2010s
187,6,2,2019,2010s
188,7,3,2019,2010s
189,8,3,2019,2010s
190,9,3,2019,2010s
191,10,4,2019,2010s
192,11,4,2019,2010s
193,12,4,2019,2010s
194,,,2019,2010s
195,1,1,2020,2010s
196,2,1,2020,2010s
197,3,1,2020,2010s
198,4,2,2020,2010s
199,5,2,2020,2010s
200,6,2,2020,2010s
201,7,3,2020,2010s
202,8,3,2020,2010s
203,9,3,2020,2010s
204,10,4,2020,2010s
205,11,4,2020,2010s
206,12,4,2020,2010s
207,,,2020,2010s
