Country Name,"Age dependency ratio, young","GNI per capita, Atlas method (current US$)",Human capital index (HCI) (scale 0-1),"Human capital index (HCI), lower bound (scale 0-1)","Human capital index (HCI), upper bound (scale 0-1)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female (% of female population)","Population ages 0-14, male (% of male population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 45-49, male (% of male population)","Population ages 50-54, male (% of male population)","Population ages 55-59, male (% of male population)","Tuberculosis death rate (per 100,000 people)",Urban population growth (annual %),transformed_High income,transformed_Low income,transformed_Lower middle income,transformed_Upper middle income,hdi
Azerbaijan,33.7170245597048,4480.0,0.577767550945282,0.561639130115509,0.5911514163017271,96.04337613,0.0,7.67559672252164,8.60667163705233,23.515291231231107,21.94863702138,25.0850401922023,9.089369008487038,6.38471371921353,7.3889995466629195,5.82978340178985,6.7409012720291,6.72299261938737,7.4628445243356705,5.84648853309914,5.86812866559361,6.078744809132449,7.3,1.3354432110178702,0,0,0,1,0.754
"Bahamas, The",30.5749517694146,26070.0,0.0,0.0,0.0,0.0,0.0,6.513813657836809,7.271851925502241,21.6013467465492,20.6490069501125,22.6088867724092,7.14259549015401,7.73366970888675,8.194439356753,8.07499196161362,8.46603486260617,8.299572110509269,8.74861978199097,7.2027756118748485,6.35292763209537,5.828575615014678,0.58,1.09684473743657,1,0,0,0,0.805
Bahrain,23.1227436688938,19900.0,0.652472019195557,0.6445410847663879,0.659845471382141,100.0,100.0,8.89123270488381,4.96222536834128,18.2823560524808,25.260809603582697,14.470491806257998,5.31616376216067,7.78910314102767,4.19210267575608,6.714921919319121,4.41055399764102,6.46604858686195,4.79938644620409,6.67348796972941,4.72369179099188,3.1005730258052404,0.56,3.7405522816630095,1,0,0,0,0.838
Bangladesh,39.334238440286995,2030.0,0.46403643488884,0.455268979072571,0.47212889790534995,97.69796025,54.16469553,8.60611854743214,8.7920627254378,26.7545413051915,26.4733257992804,27.0295785537361,8.98034723120022,9.06523034583882,9.25716859709811,9.3452343124225,9.578884750963221,9.2063498496106,9.29924687638979,5.66710491301444,5.12223839823026,4.17911635565445,27.0,3.04566007142533,0,0,1,0,0.614
Barbados,25.1891908853663,14350.0,0.0,0.0,0.0,98.51445042,98.09246231,5.01325133019078,5.52615685485031,16.760330578512402,15.9697073917471,17.6037502516465,5.662045957838429,5.81574918907254,6.415547438957749,6.21632375056478,7.00799516838745,6.22441616594846,6.85844525610422,7.00871415835035,6.75419171148371,6.796612119294809,0.87,0.22785159301454605,1,0,0,0,0.813
Belarus,25.66313835020789,6360.0,0.700078189373016,0.6902708411216739,0.7096639275550841,96.53472608,97.90431818,5.36086071279065,6.30545257988252,17.2403567959313,15.7593316691598,18.940383923414398,6.9769582760429,4.6800624322518605,5.657973067489031,4.27019731268839,5.18220007560179,4.09635414500805,4.969078506066901,6.854554302925861,6.26044610508739,7.807691424698151,2.8,0.130365174445911,0,0,0,1,0.8170000000000001
Belgium,26.73597524112969,45750.0,0.76041966676712,0.7519775629043579,0.768837928771973,99.99999645,99.48615647,5.25743758084513,5.68109276356619,17.033970820276,16.3667409659176,17.7129293469131,6.01563105215835,5.57506131869452,6.016205531188557,5.32990629535175,5.73145542521458,5.473475098973,5.87991473338515,6.832731726126701,7.054358772599441,7.07345584824005,0.29,0.6203689021849761,1,0,0,0,0.919
Belize,44.381371773259495,4110.0,0.0,0.0,0.0,98.40195463,88.21427557,9.7373161212849,10.105632556469699,29.199402456567398,28.615030521365,29.7899990392443,9.89982858096389,9.330031021715195,9.78453790181077,9.90993695586911,10.1369835306253,9.87241068748124,9.9160097289152,5.10616350038683,4.339581616193279,3.62862242808238,1.8,2.19154010594343,0,0,1,0,0.72
Benin,76.5733951398937,1280.0,0.400290727615356,0.378561913967133,0.42173755168914795,65.41412299,16.96288434,15.485528798227,15.9973625130652,41.944577339316396,41.2888555680966,42.60183923750729,14.145357111238301,12.0904769358785,12.4591196132038,10.5059029980474,10.7993098399669,9.10490282503563,9.30361623772267,3.57380470704206,2.9078095248162903,2.2675648569401203,7.1,3.84323703290972,0,0,1,0,0.52
Bhutan,36.130928981072,2840.0,0.47529703378677396,0.45032000541686995,0.499215334653854,97.31322263,76.50655402,8.68321692828988,7.9161251149146405,24.8945060186001,26.1467395062582,23.791049216385797,7.67520062815939,9.027591452873251,8.19972347331176,9.44056427632944,8.68108474543207,9.604315054283939,9.65307361608634,5.21962412853858,4.36517129292077,3.3014945609102497,21.0,2.78752440333794,0,0,1,0,0.617
Bolivia,48.4721959852318,3180.0,0.0,0.0,0.0,93.39007163,65.75642485,9.9661909437817,10.3441794913946,30.2029526032721,29.656698784696804,30.745188774566998,10.2820595153413,9.77198663458876,10.118949767831099,9.57991473789383,9.894317515870133,9.01262422592566,9.236979258687963,4.834569502079121,4.05374239994783,3.3807674573947297,11.0,1.87989454478974,0,0,1,0,0.703
Bosnia and Herzegovina,21.4950897239707,6080.0,0.57968407869339,0.5708836317062379,0.588268458843231,96.11389762,0.0,3.85663412985021,4.27521568720205,14.5224713707157,13.837484753966999,15.236065526833196,5.17792443587706,5.275993515732232,5.78292540375412,4.8316634870499815,5.23730416050203,6.24887259990706,6.943133021164451,7.16266372216264,7.10882361545342,8.00947834849674,3.5,0.19375128789414892,0,0,0,1,0.769
Botswana,53.8039774381244,6640.0,0.41402849555015603,0.388916105031967,0.4309838712215421,92.21356307,80.02624315,11.070195608176697,12.074982069161699,33.4037243151231,32.021746337810505,34.8750196427176,11.8584951790845,10.0528153623098,10.9415423944714,9.1903183931726,10.0140549680054,8.32534725028577,9.02406199987885,4.586080753297121,3.29664059050179,2.47959132612705,35.0,3.05854990331497,0,0,0,1,0.728
Brazil,29.712535084612302,7850.0,0.551497936248779,0.546363532543182,0.556369066238403,99.32085299,90.07847103,6.53922483139809,7.09014265733039,20.7091991600636,19.9091362326306,21.5375145892285,7.14777999031232,6.769155152084888,7.29959194158577,7.36628458982683,7.90276068500391,7.830381123178389,8.3166485188319,6.4361455498447295,5.90883011812149,5.2744910238284906,2.7,0.999249503269173,0,0,0,1,0.7609999999999999
Brunei Darussalam,30.960117419187107,31510.0,0.626391351222992,0.618847072124481,0.633784651756287,99.9000368,0.0,7.32555487990271,7.15988140289973,22.3240429826346,22.5035155062329,22.1576566058849,7.88899804834638,7.20821298266951,7.10877715463881,7.79159698996656,7.65418283866477,7.9326923076923075,8.15112759761572,7.31231303995383,6.25189988853987,5.102935410397951,5.2,1.35580343133988,1,0,0,0,0.845
Bulgaria,22.9896269922704,9630.0,0.6138981580734251,0.6032535433769229,0.624876379966736,99.01141694,86.03496784,4.25095766360296,4.765300355262901,14.679471450086998,13.871126400404696,15.535779540804805,5.12773549022101,5.04207229115212,5.64274369532094,4.26640114326513,4.8241601294085195,4.0434778716199204,4.59201077851091,8.02010360624293,7.12434438480422,6.8253924503596615,1.4,-0.151331327327057,0,0,0,1,0.816
Burkina Faso,83.3735555574133,770.0,0.383691936731339,0.363230735063553,0.401694387197495,47.21485446,21.664372600000004,16.3081837709093,16.916501200176597,44.370300287423895,43.55132850443629,45.190346541834096,15.0021451044179,12.7786842650019,13.2717002372396,10.8137301819131,11.2585573198613,9.034929744185751,9.33457913108766,3.1989773199129505,2.48691371414418,1.83238160780483,9.7,4.8930447343546595,0,1,0,0,0.434
Burundi,86.41150083419559,230.0,0.386170625686646,0.3643782138824461,0.405884236097336,62.20712225,45.72751068,16.966017055485803,17.5837951518882,45.2519194697339,44.5750458569197,45.9392453792155,15.527442666475,12.5444068078393,12.828007560852196,10.148262778469501,10.321559954602302,8.74053170825101,8.79905028319297,2.41642858208257,2.02869083083949,1.8390593410288798,22.0,5.60262426061548,0,1,0,0,0.423
Cambodia,48.1530583459087,1500.0,0.4915898740291591,0.47126007080078103,0.506987154483795,71.21988497,68.76930002,10.1874038674713,11.115411304289,30.9249525912639,29.579022939978,32.3358355312098,10.9409900784375,9.35766495526758,10.2794341484833,8.500800615014441,8.979562933755961,8.8176690901131,9.480247534310893,4.65768502101827,4.18303435352047,3.6547844120815096,20.0,3.17781513618208,0,0,1,0,0.581
Cameroon,76.1752944670103,1520.0,0.397401511669159,0.376647859811783,0.41758689284324696,65.72041818,44.63112443,15.3584550933774,15.649696940026299,42.063932899827,41.7062250368138,42.4214218869744,14.173566090422804,12.4166719359242,12.598158856525302,10.7033354739457,10.815989214491902,9.08989509140585,9.1426688483721,3.52755407346874,2.7180082962550096,2.05389364750896,37.0,3.5881264411255698,0,0,1,0,0.563
Canada,23.858378357298108,43530.0,0.797520101070404,0.789545595645905,0.8055559992790219,99.22181066,99.03286158,5.11419291941354,5.450113702741881,15.775252255078001,15.291979017967401,16.2657006569124,5.401213889810362,5.096118201919111,5.414373064360159,5.10804351756517,5.43066054571978,6.0769977704867495,6.4500401394861795,6.350948619002018,6.49141279780707,7.37113431230474,0.21,1.1877243044453798,1,0,0,0,0.922
Central African Republic,81.1435382291954,500.0,0.29163190722465504,0.2558374106884,0.32074791193008395,37.20240205,14.11863478,15.0336122102605,15.5412895847274,43.541727789353,42.91852682695321,44.175791402155895,14.645482410083,13.648971434342695,13.989019407345399,12.244213420086501,12.490131752074499,9.89493053804991,10.0983190771089,3.1974794093002497,2.58976241853735,2.0104075032935897,91.0,2.78631252169325,0,1,0,0,0.381
Chad,91.13757404659141,630.0,0.299782782793045,0.281631708145142,0.317157030105591,46.18753479,12.06370114,17.687612551362,17.993614766523102,46.4902972531612,46.2113508059933,46.7700669620264,15.4318264133548,13.246258155395902,13.3446257821484,11.2568564165263,11.3277651560882,9.30956665149874,9.38669564167572,2.87114779327746,2.16734531113379,1.7122206003046299,22.0,3.9892892614249598,0,1,0,0,0.401
Chile,28.0781095911098,13470.0,0.6516041755676271,0.641071140766144,0.661716818809509,99.99999872,99.99999872,5.88577107158115,6.279235988448138,19.2387284481891,18.639632053528498,19.8546649579993,6.83231078876205,6.33662313968056,6.74311818078908,6.3131775938183,6.70998525409709,7.128942246768499,7.55464678422296,6.59344180238029,6.315742680970451,5.8401902294680585,1.9,0.958329674358122,1,0,0,0,0.847
China,25.1874818000155,10550.0,0.65310263633728,0.639979422092438,0.665241241455078,94.26111059,92.37617808,5.63078475976844,6.02187499923806,17.711815385171498,16.9459371672447,18.439131660129,6.27433943751155,5.55044016784053,6.14291722337936,5.4542893107715,5.97403060063853,5.83164688145829,6.268070671273942,8.28629453646254,8.44541072101933,6.767114799221631,2.1,2.06604671821217,0,0,0,1,0.758
